id	age	coat	gender	stray_cat	weight	treat	stress7	stress12	weight7	weight12
3	2	"tabby, red, white"	1	0	3.52	0	2.111111111	2.205882353	-8.806818182	-10.51136364
5	10	"black, white"	1	0	2.25	0	2.382352941	2.1875	-0.888888889	-4.444444444
6	1	"tabby, red, white"	1	0	2.91	0	2.6	2.125	-6.18556701	-9.621993127
8	6	"red, white"	0	0	5.37	0	2.114285714	2.222222222	-14.15270019	-18.80819367
10	3	"tabby, white"	0	0	6.41	0	2.148148148	2.361111111	-8.736349454	-10.14040562
12	8	blue	0	0	5.41	0	2.833333333	2.2	-6.839186691	-7.763401109
14	2	tortoiseshell	1	0	3.3	0	2.25	2.125	-2.121212121	-0.606060606
16	3	tortoiseshell	1	0	4.17	0	2.189189189	2.266666667	-3.357314149	-3.597122302
19		"tabby, white"	0	0	5.43	0	2.409090909	2.222222222	-9.944751381	-11.04972376
20	8	"blue, tabby, white"	1	0	4.21	0	2.25	2.222222222	-2.137767221	-3.087885986
23	6	"black, white"	0	0	5.75	0	2.176470588	2.25	-3.652173913	-5.217391304
1	4	"red, white"	0	0	5.14	1	2.222222222	2.038461538	-9.143968872	-11.47859922
2	1	"white, tabby"	1	0	3.42	1	2.121212121	2.222222222	-10.52631579	-10.23391813
4	1	"tabby, white"	1	0	2.94	1	2.125	2.222222222	-3.06122449	-6.12244898
7	1	"tabby, white"	1	0	2.82	1	2.028571429	2	-5.673758865	-8.865248227
9	7	"red, white"	0	0	6.27	1	2.121212121	1.142857143	-8.293460925	-9.728867624
11	3	"tabby, white"	1	0	4.45	1	2.25	2	-0.224719101	-1.797752809
13	6	"tortoiseshell, white"	1	0	4.49	1	2.166666667	1.8	-0.668151448	-1.336302895
15	3	"red, white"	0	0	3.64	1	2.034482759	2.111111111	-6.318681319	-8.516483516
17	3	red	0	0	4.04	1	1.363636364	1.576923077	-6.930693069	-10.89108911
18	1	"tabby, white"	1	0	3.85	1	2.25	1.347826087	-0.519480519	-1.818181818
21	6	"black, white"	0	0	3.78	1	2.2	2.090909091	-4.232804233	-6.878306878
22	4	"white, tabby"	0	0	4.57	1	2.16	2.133333333	1.094091904	1.531728665
